Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Snowboard binding mount (product.metafields.test_data.binding_mount)","Snowboard length (product.metafields.test_data.snowboard_length)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Status
fibre-resilience-pro,"Fibre Resilience Pro","<p>Hyper-fast fibre with satellite backup for total peace of mind. Perfect for 4K ultra-high-definition streaming, gaming, remote work, or online learning. <strong>Unlimited data on both fibre &amp; satellite plans. </strong><br></p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,true,Title,"Default Title",,,,,,,,"Fibre Resilience Pro 1",0,shopify,deny,manual,189,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Fibre_Resilience_Pro.png,1,,false,,,,,,kg,,0,active
fibre-resilience-premium-business,"Fibre Resilience Premium (Business)","<p>Hyper fast fibre with satellite backup for uninterrupted connectivity. Ideal for keeping your business online when it matters most. <strong>Comes with priority restoration</strong> in the event of a fibre interruption. <strong>Unlimited data on both fibre &amp; satellite plans. </strong></p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,true,Title,"Default Title",,,,,,,,"Fibre Resilience Pro (Business)",0,,deny,manual,309,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Fibre_Resilience_Premium.png,1,,false,,,,,,kg,,0,active
fibre-resilience-standard,"Fibre Resilience Standard","<p>Fast fibre with instant satellite backup ensures seamless connectivity in remote areas. Ideal for high-definition streaming, remote work, online learning, and business continuity. <strong>Unlimited data on both fibre &amp; satellite plans.</strong></p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,true,Title,"Default Title",,,,,,,,"Fibre Resilience Standard",0,,deny,manual,169,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/3._Fibre_Resilience_Standard.png,1,,false,,,,,,kg,,0,active
vdsl-resillience,"VDSL Resillience","<p>VDSL with instant satellite backup ensures seamless connectivity where fibre isn’t available. Ideal for small to medium households who require daily streaming and work-from-home online tasks. <strong></strong><strong>Unlimited data on both VDSL &amp; satellite plans. </strong></p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,false,Title,"Default Title",,,,,,,,"VDSL Resillience",0,,deny,manual,159,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/4._VDSL_Resillience.png,1,,false,,,,,,kg,,0,draft
fibre-daily-go,"Fibre Daily Go","<p>Hyper-fast fibre with <strong>unlimited data</strong> — always ready for 4K ultra-HD streaming, seamless gaming, remote work, and online learning.</p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,true,Title,"Default Title",,,,,,,,"Fibre Daily Go",0,,deny,manual,99,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/5._Fibre_Daily_Go.png,1,,false,,,,,,kg,,0,active
fibre-resilience-power-test,"Fibre Resilience Pro (Test)","<p>Hyper-fast fibre with satellite backup for total peace of mind. Perfect for 4K ultra-high-definition streaming, gaming, remote work, or online learning. <strong>Unlimited data on both fibre &amp; satellite plans. </strong><br></p>","Volt Broadband New Zealand","Electronics > Communications > Telephony > Mobile & Smart Phone Accessories",,,true,Title,"Default Title",,,,,,,,"Fibre Resilience Power-test",0,,continue,manual,189,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Small_logo_volt.png,1,,false,,,,,,kg,,0,active
wifi-router,"Wifi Router","<p>Grandstream GWN 7052 Wireless</p>","Volt Broadband New Zealand","Electronics > Networking > Bridges & Routers > Wireless Routers",,,true,Title,"Default Title",,,,,,,,,1000,shopify,deny,manual,120,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/fiber-router_0e159a10-6190-4427-ac29-89db04a33a25.png,1,,false,,,,,,kg,,0,active
newtech-mdm-2510,"NewTech MDM 2510",,"Volt Broadband New Zealand","Electronics > Computers",,,true,Title,"Default Title",,,,,,,,,1000,shopify,deny,manual,85,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/newtech-mdm.png,1,,false,,,,,,kg,,0,active
cyber-security-package,"Cyber Security Package",,"Volt Broadband New Zealand","Services > Personal Services",,,true,Title,"Default Title",,,,,,,,,1000,shopify,deny,manual,22,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/cybersecurity-package.png,1,,false,,,,,,kg,,0,active
installation,Installation,"<p><strong>Installation includes:</strong></p>
<ul>
<li>Fibre and Satellite installations will be carried out in two separate sessions.</li>
<li>This pricing includes fibre installation (up to 200 metres) and satellite kit installation (within 100 km of Volt’s warehouse), performed by a technician.</li>
<li>Additional charges may apply for extended Fibre/Satellite runs or locations beyond the range.</li>
<li>The fee charged covers a one-time installation only; any future installations will incur additional charges.<br>
</li>
</ul>
<div style=""display: none;"" class=""installation_red_box"">
<h2>A deposit of $999 is collected when you choose installation. <br>(Upfront payment and non-refundable)</h2>
<p>The <strong>remaining balance</strong> of <strong>$2439</strong> will be invoiced upon successful completion of the fibre installation and must be paid in full prior to the installation of your satellite backup system.</p>
</div>","Volt Broadband New Zealand","Services > Professional Services",,,true,Title,"Default Title",,,,,,,,,0,shopify,continue,manual,999,0,false,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/instalation-red.png,1,,false,,,,,,kg,,0,active
service-pack,"Service Pack",,"Volt Broadband New Zealand",,,,false,Title,"Default Title",,,,,,,,,0,shopify,deny,manual,72,0,true,true,,,,,,,,,false,,,,,,kg,,0,archived
power-station-pro,"Power Station Pro","<p style=""language: en-US; margin-top: 0pt; margin-bottom: 0pt; margin-left: 0in; text-align: left; direction: ltr; unicode-bidi: embed; vertical-align: bottom; mso-line-break-override: none; word-break: normal; punctuation-wrap: hanging;""><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;"">PowerGuard</span><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;""> Power Station Pro Expansion Pack 2560Wh</span></p>","Volt Broadband New Zealand","Electronics > Electronics Accessories > Power > Power Stations",,,true,Title,"Default Title",,,,,,,,,1000,shopify,continue,manual,1693,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/2500W.png,1,,false,,,,,,kg,,0,active
power-station-pro-3000w,"Power Station Pro 3000W","<p style=""language: en-US; margin-top: 0pt; margin-bottom: 0pt; margin-left: 0in; text-align: left; direction: ltr; unicode-bidi: embed; vertical-align: bottom; mso-line-break-override: none; word-break: normal; punctuation-wrap: hanging;""><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;"">PowerGuard</span><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;""> Power Station Pro 3000W</span></p>","Volt Broadband New Zealand","Electronics > Electronics Accessories > Power > Power Stations",,,true,Title,"Default Title",,,,,,,,,1000,shopify,continue,manual,2694,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/3000W.png,1,,false,,,,,,kg,,0,active
solar-panel-220w,"Solar Panel 220W","<p style=""language: en-US; margin-top: 0pt; margin-bottom: 0pt; margin-left: 0in; text-align: left; direction: ltr; unicode-bidi: embed; vertical-align: bottom; mso-line-break-override: none; word-break: normal; punctuation-wrap: hanging;""><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;"">PowerGuard</span><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;""> Power Station Foldable Solar Panel 220W</span></p>","Volt Broadband New Zealand","Hardware > Power & Electrical Supplies > Solar Panels",,,true,Title,"Default Title",,,,,,,,,1000,shopify,continue,manual,683,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Solar-Panel-Volt_c83867b6-b5e5-4acb-b815-fc6b8880785b.png,1,,false,,,,,,kg,,0,active
solar-panel-420w,"Solar Panel 420W","<p style=""language: en-US; margin-top: 0pt; margin-bottom: 0pt; margin-left: 0in; text-align: left; direction: ltr; unicode-bidi: embed; vertical-align: bottom; mso-line-break-override: none; word-break: normal; punctuation-wrap: hanging;""><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;"">PowerGuard</span><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;""> Power Station Foldable Solar Panel 420W</span></p>","Volt Broadband New Zealand","Hardware > Power & Electrical Supplies > Solar Panels",,,true,Title,"Default Title",,,,,,,,,2000,shopify,continue,manual,1154,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Solar-Panel-Volt_7529250b-8979-4412-9a04-f52119efbd34.png,1,,false,,,,,,kg,,0,active
power-station-600w,"Power Station 600W","<p style=""language: en-US; margin-top: 0pt; margin-bottom: 0pt; margin-left: 0in; text-align: left; direction: ltr; unicode-bidi: embed; vertical-align: bottom; mso-line-break-override: none; word-break: normal; punctuation-wrap: hanging;""><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;"">PowerGuard</span><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;""> </span><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;"">Power Station 600W</span></p>","Volt Broadband New Zealand","Electronics > Electronics Accessories > Power > Power Stations",,,true,Title,"Default Title",,,,,,,,,0,shopify,deny,manual,804,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/PGPS600.png,1,,false,,,,,,kg,,0,active
solar-panel-110w,"Solar Panel 110W","<p style=""language: en-US; margin-top: 0pt; margin-bottom: 0pt; margin-left: 0in; text-align: left; direction: ltr; unicode-bidi: embed; vertical-align: bottom; mso-line-break-override: none; word-break: normal; punctuation-wrap: hanging;""><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;"">PowerGuard</span><span style=""font-size: 16.0pt; font-family: Aptos; mso-ascii-font-family: Aptos; mso-fareast-font-family: +mn-ea; mso-bidi-font-family: +mn-cs; mso-ascii-theme-font: minor-latin; mso-fareast-theme-font: minor-fareast; mso-bidi-theme-font: minor-bidi; color: black; mso-color-index: 13; mso-font-kerning: 12.0pt; language: en-US; mso-style-textfill-type: solid; mso-style-textfill-fill-themecolor: dark1; mso-style-textfill-fill-color: black; mso-style-textfill-fill-alpha: 100.0%;""> Power Station Foldable Solar Panel 110W</span></p>","Volt Broadband New Zealand","Hardware > Power & Electrical Supplies > Solar Panels",,,true,Title,"Default Title",,,,,,,,,100,shopify,deny,manual,402,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/SolarPanelVolt_065c9a88-8c71-40a0-97a4-a47b9fe828f1.png,1,,false,,,,,,kg,,0,active
equipment,Equipment,,"Volt Broadband New Zealand","Product Add-Ons > Product Upgrades",,,true,Title,"Default Title",,,,,,,,,1000,shopify,continue,manual,2349,0,true,false,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/equipment-icon_4x_4ed05b50-a7c2-471c-939c-7ba00f773f01.png,1,,false,,,,,,kg,,0,active
equipment-for-vdsl-resilience,"Equipment for VDSL Resilience",,"Volt Broadband New Zealand","Electronics > Networking > Bridges & Routers > Wireless Access Points",,,true,Title,"Default Title",,,,,,,,,1000,shopify,continue,manual,2649,0,false,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/equipment-icon_4x_4ed05b50-a7c2-471c-939c-7ba00f773f01.png,1,,false,,,,,,kg,,0,active
lite-plan,"Lite Plan","<p>Best for up to 4 users</p>
<p> </p>
<p>Unlimited Data(First Priority Data Quota - 220GB)</p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,true,Title,"Default Title",,,,,,,,"Light Plan",0,shopify,deny,manual,100,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Fibre_Resilience_Pro.png,1,,false,,,,,,kg,,0,active
pro-plan,"Pro Plan","<p>Best for up to 5 users</p>
<p> </p>
<p>Unlimited Data(First Priority Data Quota - 315GB)</p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,true,Title,"Default Title",,,,,,,,pro-plan,0,shopify,deny,manual,129,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Fibre_Resilience_Pro.png,1,,false,,,,,,kg,,0,active
max-plan,"Max Plan","<p>Best for up to 7 users</p>
<p> </p>
<p>Unlimited Data(First Priority Data Quota - 410GB)</p>","My Store","Electronics > Communications > Telephony > Mobile & Smart Phones",,,true,Title,"Default Title",,,,,,,,max-plan,0,shopify,deny,manual,159,0,true,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/Fibre_Resilience_Pro.png,1,,false,,,,,,kg,,0,active
installation-for-satellite,"Installation for Satellite","<p><strong>Installation includes:</strong></p>
<ul>
<li>Satellite kit installation (within 100 km of Volt’s warehouse)<br>
</li>
<li> Performed by a technician</li>
<li>Additional charges may apply beyond range</li>
</ul>
<div style=""display: none;"" class=""installation_red_box"">
<h2>A deposit of $999 is collected when you choose installation. <br>(Upfront payment and non-refundable)</h2>
<p>The <strong>remaining balance</strong> of <strong>$2439</strong> will be invoiced upon successful completion of the fibre installation and must be paid in full prior to the installation of your satellite backup system.</p>
</div>","Volt Broadband New Zealand","Services > Professional Services",,,true,Title,"Default Title",,,,,,,,,0,shopify,continue,manual,999,0,false,true,,,,,,https://cdn.storedumper.com/s/files/1/0654/8861/7519/files/instalation-red.png,1,,false,,,,,,kg,,0,active
